Participant_ID,Program,Enrollment_Date,Completion_Status,Satisfaction_Score,Pre_Assessment,Post_Assessment,Age_Group,Referral_Source,Cost_Per_Participant
P-1001,Job Readiness,2024-01-08,Completed,4,42,71,Adult,Partner Agency,1200
P-1002,Job Readiness,2024-01-15,Completed,5,38,75,Adult,Community Event,1200
P-1003,Youth Leadership,2024-01-10,Completed,5,55,82,Youth,School/Employer,1800
P-1004,Family Stability,2024-01-22,Withdrew,3,30,,Adult,Self,950
P-1005,Digital Literacy,2024-01-29,Completed,4,20,58,Older Adult,Partner Agency,600
P-1006,Job Readiness,2024-02-05,Completed,4,45,69,Adult,Self,1200
P-1007,Youth Leadership,2024-02-12,Completed,5,60,88,Youth,School/Employer,1800
P-1008,Family Stability,2024-02-14,Completed,4,35,62,Adult,Partner Agency,950
P-1009,Digital Literacy,2024-02-19,Completed,3,15,40,Older Adult,Community Event,600
P-1010,Digital Literacy,2024-02-26,Withdrew,2,18,,Older Adult,Self,600
P-1011,Job Readiness,2024-03-04,Completed,5,40,78,Youth,School/Employer,1200
P-1012,Family Stability,2024-03-11,Completed,4,28,55,Adult,Partner Agency,950
P-1013,Youth Leadership,2024-03-18,Did Not Complete,3,50,,Youth,Community Event,1800
P-1014,Job Readiness,2024-04-01,Completed,4,35,65,Adult,Community Event,1200
P-1015,Digital Literacy,2024-04-08,Completed,5,22,61,Adult,Partner Agency,600
P-1016,Family Stability,2024-04-15,Completed,5,40,70,Adult,Self,950
P-1017,Youth Leadership,2024-04-22,Completed,4,48,76,Youth,School/Employer,1800
P-1018,Job Readiness,2024-05-06,Withdrew,2,33,,Adult,Self,1200
P-1019,Digital Literacy,2024-05-13,Completed,4,25,55,Older Adult,Partner Agency,600
P-1020,Family Stability,2024-05-20,Completed,3,32,50,Adult,Community Event,950
P-1021,Youth Leadership,2024-06-03,Completed,5,52,85,Youth,School/Employer,1800
P-1022,Job Readiness,2024-07-08,Completed,4,44,72,Adult,Partner Agency,1200
P-1023,Digital Literacy,2024-07-15,Completed,4,19,52,Older Adult,Community Event,600
P-1024,Family Stability,2024-07-22,Did Not Complete,2,25,,Adult,Self,950
P-1025,Youth Leadership,2024-08-05,Completed,5,58,90,Youth,School/Employer,1800
P-1026,Job Readiness,2024-08-12,Completed,3,36,60,Adult,Self,1200
P-1027,Digital Literacy,2024-08-19,Withdrew,2,12,,Older Adult,Self,600
P-1028,Family Stability,2024-09-02,Completed,4,38,64,Adult,Partner Agency,950
P-1029,Youth Leadership,2024-09-09,Completed,4,45,73,Youth,Community Event,1800
P-1030,Job Readiness,2024-09-16,In Progress,,41,,Adult,Partner Agency,1200
